place_name,latitude,longitude,address,phone_number,review_count,ratings
Bachelor's Mohakhali,23.7503009,90.4169263,"Q9GW+XG3 Bachelor's Mohakhali, Arjotpara, VIP Road, Dhaka",01602-295322,10,4.7
PEYALA 11,23.7902239,90.4082798,"House 25, Ground Floor, PEYALA 11, Genetic Road No. 11, Dhaka 1213",01777-711615,137,4.4
Pizza2Go,23.7461352,90.4121646,"Pizza2Go, 222 Bir Uttam Mir Shawkat Sarak, Dhaka 1208",01313-890864,81,4.0
G.M.T Catering Services,23.8000348,90.4064056,"G.M.T Catering Services, 5/A Rd No 18, Dhaka 1213",01976-786468,42,5.0
G.M.T Catering Services,23.7744116,90.4148459,"G.M.T Catering Services, 5/A Rd No 18, Dhaka 1213",01976-786468,42,5.0
Delicious pizza-Bashundhara,23.8081521,90.4299132,"Delicious pizza-Bashundhara, Dhalibari Road, Dhaka 1212",01931-993695,2,5.0
Delicious pizza-Bashundhara,23.7981165,90.4038441,"Delicious pizza-Bashundhara, Dhalibari Road, Dhaka 1212",01931-993695,2,5.0
Tina's Flavour Factory,23.7921988,90.4225405,"Tina's Flavour Factory, Shatabdi Lake Nibash, G P Kha 1, 3 Marium Rd, Dhaka 1212",01776-191830,7,4.9
Wooden Oven,23.7895526,90.3876865,"Wooden Oven, 144 N Kafrul Rd, Dhaka 1206",01714-130730,85,4.5
Meherin's Kitchen,23.7926146,90.4084484,"House# 78, Meherin's Kitchen, Rd 12, Dhaka 1213",01715-025585,7,4.9
Food Bazar logistics,23.788062,90.4152929,"Food Bazar logistics, Rd 36, Gulshan-2 Home No 22 (Fifth floor) Rd No 36 Dhaka, 1212",01904-099855,3,5.0
Burritos 365 Banani,23.790952,90.4060263,"Burritos 365 Banani, House 68 Road 10 Block D, Dhaka 1213",01968-800060,1,5.0
Hungry Restaurant ~ Kachukhet,23.7968964,90.3872672,"Hungry Restaurant ~ Kachukhet, Dcc-7, Dhaka 1206",01972-099112,Moderately expensive,
Dilaab,23.7807485,90.4006388,"15th floor, Dilaab, Ambon Complex, 99 Mohakhali C/A, Dhaka 1212",01308-315430,4,5.0
Dilaab,23.8000479,90.3527027,"15th floor, Dilaab, Ambon Complex, 99 Mohakhali C/A, Dhaka 1212",01308-315430,4,5.0
Khaas Food - Badda | Best Natural and Safe Grocery Store,23.7733472,90.426662,"Khaas Food - Badda | Best Natural and Safe Grocery Store, House#14 Rd No 11, Dhaka 1212",01730-715053,61,4.1
Kawsar Juice Point,23.8122204,90.4251385,"Kawsar Juice Point, 181 E Kafrul Rd, Dhaka",01532-219204,Inexpensive,
Kawsar Juice Point,23.7940109,90.3830452,"Kawsar Juice Point, 181 E Kafrul Rd, Dhaka",01532-219204,Inexpensive,
Kawsar Juice Point,22.5211763,88.2556058,"Kawsar Juice Point, 181 E Kafrul Rd, Dhaka",01532-219204,Inexpensive,
Pizza & More - All the Goodness of Italian Food,23.7954894,90.4116289,"Pizza & More - All the Goodness of Italian Food, House No- 9/A (NW1) (Ground Floor) Road No-53, Dhaka 1212",01954-667711,251,4.3
Ruma's Kitchen Home Made,23.8036582,90.4298629,"Ruma's Kitchen Home Made, House No-3, Muktijodhdha Siraj Road, Sarkar Bari, Dhaka 1212",01708-415717,4,4.8
PIZZA VIRUS,23.8090535,90.4153305,"PIZZA VIRUS, Ka-100, Poschimpara, Kalachandpur Main Road, Dhaka 1212",01737-075602,10,4.6
Cheez Banani,23.7927561,90.4081902,"2nd Floor, Cheez Banani, House 37 Rd 12, Dhaka 1213",01316-195220,Moderately expensive,
Pizza Inn Gulshan 1,23.7837674,90.417104,"Pizza Inn Gulshan 1, 76 Gulshan Ave, Dhaka 1212",01971-004559,Moderately expensive,
Pizza Inn Gulshan 1,23.7744116,90.4148459,"Pizza Inn Gulshan 1, 76 Gulshan Ave, Dhaka 1212",01971-004559,Moderately expensive,
Pizza Inn Gulshan 1,23.795867,90.4150407,"Pizza Inn Gulshan 1, 76 Gulshan Ave, Dhaka 1212",01971-004559,Moderately expensive,
Dhaka Lunch,23.7792208,90.4183724,"Dhaka Lunch, House 10 Rd 135, Dhaka 1212",01744-602388,30,4.7
Ruma's Kitchen Home Made,23.8036582,90.4298629,"Ruma's Kitchen Home Made, House No-3, Muktijodhdha Siraj Road, Sarkar Bari, Dhaka 1212",01708-415717,4,4.8
Meherin's Kitchen,23.7926146,90.4084484,"House# 78, Meherin's Kitchen, Rd 12, Dhaka 1213",01715-025585,7,4.9
Food Buddy,23.7926505,90.4222578,"Food Buddy, lakeside, Kha 66/8, Shahjadpur, Dhaka 1212",01930-000300,21,4.9
HungryNaki,23.7509974,90.3930924,"HungryNaki, Asfia Tower, House - 76 Rd No. 11, Dhaka 1213",01684-685443,300,3.4
Sonar Courier Service Ltd.,23.7815425,90.4000746,"1st. Floor, Sonar Courier Service Ltd., 2 Bir Uttam AK Khandakar Road, Dhaka 1212",01711-521460,71,3.9
Sonar Courier Service Ltd.,23.7858238,90.416679,"1st. Floor, Sonar Courier Service Ltd., 2 Bir Uttam AK Khandakar Road, Dhaka 1212",01711-521460,71,3.9
Sonar Courier Service Ltd.,23.7637415,90.4260288,"1st. Floor, Sonar Courier Service Ltd., 2 Bir Uttam AK Khandakar Road, Dhaka 1212",01711-521460,71,3.9
G.M.T Catering Services,23.8000348,90.4064056,"G.M.T Catering Services, 5/A Rd No 18, Dhaka 1213",01976-786468,42,5.0
Bahon Express Ltd.,23.7923417,90.40458,"Bahon Express Ltd., House# 52 Rd No-15, Dhaka 1213",09613-232469,3,5.0
GogoBangla,23.79254,90.4242742,"Block - H, GogoBangla, House - 65 Rd No. 7A, Dhaka 1213",01623-123123,16,2.9
DCC Home Delivery,23.7797469,90.4161611,"DCC Home Delivery, Polt No-G.P.Ka-71/A, Dhaka 1212",01559-584584,3,5.0
SteadFast Courier Ltd.,23.8591575,90.402229,"SteadFast Courier Ltd., Roza Green, House .175 Shanti Niketon,Uttar, Dhaka 1208",01322-889450,5,3.4
SteadFast Courier Ltd.,23.7746711,90.4113128,"SteadFast Courier Ltd., Roza Green, House .175 Shanti Niketon,Uttar, Dhaka 1208",01322-889450,5,3.4
SteadFast Courier Ltd.,23.7652125,90.4447619,"SteadFast Courier Ltd., Roza Green, House .175 Shanti Niketon,Uttar, Dhaka 1208",01322-889450,5,3.4
Dhaka Lunch,23.7792208,90.4183724,"Dhaka Lunch, House 10 Rd 135, Dhaka 1212",01744-602388,30,4.7
koopon,23.7771692,90.4114185,"koopon, Niketan, House-90, Road-2, Block-A, Dhaka 1212",09638-336633,23,3.7
Sonar Courier Service Ltd.,23.7815425,90.4000746,"1st. Floor, Sonar Courier Service Ltd., 2 Bir Uttam AK Khandakar Road, Dhaka 1212",01711-521460,71,3.9
GogoBangla,23.7645439,90.4326942,"Block - H, GogoBangla, House - 65 Rd No. 7A, Dhaka 1213",01623-123123,16,2.9
GogoBangla,23.79254,90.4242742,"Block - H, GogoBangla, House - 65 Rd No. 7A, Dhaka 1213",01623-123123,16,2.9
Sundarban Courier Services Banani,23.7914306,90.4077042,"Sundarban Courier Services Banani, 13 Rd No. 13E, Dhaka 1212",01936-003304,993,4.0
Sundarban Courier Services Banani,23.7858238,90.416679,"Sundarban Courier Services Banani, 13 Rd No. 13E, Dhaka 1212",01936-003304,993,4.0
Sundarban Courier Services Banani,23.7515959,90.42367,"Sundarban Courier Services Banani, 13 Rd No. 13E, Dhaka 1212",01936-003304,993,4.0
Homebound Packers & Shippers Ltd.,23.7637919,90.3959577,"Homebound Packers & Shippers Ltd., SW A 26, Gulshan Ave, Dhaka 1212",02222-294745,82,4.3
A.J.R Persal & Courier Service (Bashundhara Branch),23.8116664,90.423233,"A.J.R Persal & Courier Service (Bashundhara Branch), Bhorta Bari Restaurant, Ka-8/1, Ainuddin Munshi Road, Bashundhara R/A Main Road Vatara, Dhaka 1229 (Near",01330-001411,200,3.7
Sundarban Courier Service Pvt. Ltd. (Mohakhali New DOHS),23.7786291,90.3963339,"Sundarban Courier Service Pvt. Ltd. (Mohakhali New DOHS), Shop No. 65, Ground Floor, SKS Shopping Mall SKS Tower 7 VIP Road, Dhaka 1206",01313-889548,165,4.2
S A Paribahan Parcel Service (New Office),23.7740504,90.3992677,"S A Paribahan Parcel Service (New Office), Mohakhali Bus Terminal, Shaheed Tajuddin Ahmed Ave, Dhaka 1205",01766-688351,1584,4.0
Karatoa Courier Service | Badda Branch,23.7845451,90.4251561,"Karatoa Courier Service | Badda Branch, Bir Uttam Rafiqul Islam Ave, Dhaka 1212",01755-554726,118,3.8
"Sundarban Courier Service, Sahazadpur Branch",23.7949917,90.4279445,"QCVH+X5W Sundarban Courier Service, Sahazadpur Branch, Unnamed Road, Dhaka 1212",01915-678003,63,3.7
FedEx Baridhara Branch,23.8146477,90.4118278,"FedEx Baridhara Branch, House:181 (Ground Floor), Lane : 2, DOHS, Dhaka 1206",01700-799934,24,4.0
FedEx Baridhara Branch,23.7771692,90.4114185,"FedEx Baridhara Branch, House:181 (Ground Floor), Lane : 2, DOHS, Dhaka 1206",01700-799934,24,4.0
Priyo Delivery Ltd,23.7775276,90.3707798,"RC66+4XQ Priyo Delivery Ltd, Dhaka 1236",01791-954449,2,5.0
Priyo Delivery Ltd,23.7393718,90.3857526,"RC66+4XQ Priyo Delivery Ltd, Dhaka 1236",01791-954449,2,5.0
Bahon Express Ltd.,23.7923417,90.40458,"Bahon Express Ltd., House# 52 Rd No-15, Dhaka 1213",09613-232469,3,5.0
Paperfly Private Ltd.,23.7787086,90.3975433,"Paperfly Private Ltd., SKS Tower, Level 5, 7 VIP Road",09678-300900,462,3.1
Paperfly Private Ltd.,23.7217382,90.4170094,"Paperfly Private Ltd., SKS Tower, Level 5, 7 VIP Road",09678-300900,462,3.1
Paperfly Private Ltd.,23.7848771,90.3484036,"Paperfly Private Ltd., SKS Tower, Level 5, 7 VIP Road",09678-300900,462,3.1
Media Express Courier service,23.779823,90.4055001,"Media Express Courier service, GP Cha-14 Haque market Whirlesgate, 1213",01714-378066,1,5.0
US Bangla express limited,23.7826238,90.4142997,"US Bangla express limited, House, 20A Rd 26, Dhaka 1212",01701-207968,19,3.7
Darcel Courier,23.8103308,90.4124933,"Darcel Courier, Road No:3, House No: 35/3 Dhaka, 1207",01313-919031,1,4.0
A.J.R Persal & Courier Service (Bashundhara Branch),23.8116664,90.423233,"A.J.R Persal & Courier Service (Bashundhara Branch), Bhorta Bari Restaurant, Ka-8/1, Ainuddin Munshi Road, Bashundhara R/A Main Road Vatara, Dhaka 1229 (Near",01330-001411,200,3.7
S A Paribahan Parcel Service (New Office),23.7740504,90.3992677,"S A Paribahan Parcel Service (New Office), Mohakhali Bus Terminal, Shaheed Tajuddin Ahmed Ave, Dhaka 1205",01766-688351,1584,4.0
S A Paribahan Parcel Service (New Office),23.7384262,90.3949606,"S A Paribahan Parcel Service (New Office), Mohakhali Bus Terminal, Shaheed Tajuddin Ahmed Ave, Dhaka 1205",01766-688351,1584,4.0
Sundarban Courier Services Banani,23.7914306,90.4077042,"Sundarban Courier Services Banani, 13 Rd No. 13E, Dhaka 1212",01936-003304,993,4.0
Sundarban Courier Services Banani,23.8571127,90.4009153,"Sundarban Courier Services Banani, 13 Rd No. 13E, Dhaka 1212",01936-003304,993,4.0
eCobiz-Best Multi Vendor eCommerce Market Place In Bangladesh,23.7728922,90.40783,"Block-G, eCobiz-Best Multi Vendor eCommerce Market Place In Bangladesh, House-53, Niketon Road No. 8, Dhaka 1212",01885-532382,3,5.0
eCobiz-Best Multi Vendor eCommerce Market Place In Bangladesh,23.7937867,90.4037827,"Block-G, eCobiz-Best Multi Vendor eCommerce Market Place In Bangladesh, House-53, Niketon Road No. 8, Dhaka 1212",01885-532382,3,5.0
Gift Express BD - Send Gift to Bangladesh from anywhere (GiftExpressBD.com),23.7473807,90.411343,"Gift Express BD - Send Gift to Bangladesh from anywhere (GiftExpressBD.com), 1st floor House, 1/A, 1212 Rd 23, Dhaka 1212",01885-532382,3,5.0
BMS Express Branded Online Shop In Bangladesh,23.7729557,90.4137026,"BMS Express Branded Online Shop In Bangladesh, c, House # 28 (3rd, Rd 07, Dhaka 1212",01627-355382,2,5.0
Yaqeen Bangladesh,23.7901206,90.4083999,"Yaqeen Bangladesh, Level-3, House-37, Road-11, Block-H, Dhaka 1213",09638-258799,2,5.0
NODIRMACH,23.7769735,90.42112,"NODIRMACH, House: TA-203, South Badda 5th Floor, Rubi Amena Lake View Apartment Dhaka, 1212",01706-445888,3,3.3
Deshi Greetings,23.7973425,90.4257902,"Deshi Greetings, House #14/A (5th floor), Road No #1/A, Block #J, Dhaka 1212",01714-091656,5,4.2
Deshi Greetings,23.7568188,90.4425538,"Deshi Greetings, House #14/A (5th floor), Road No #1/A, Block #J, Dhaka 1212",01714-091656,5,4.2
Chalkpencil.com,23.8144275,90.4149772,"Chalkpencil.com, House: 270, Lane: 03, Dhaka 1206",01919-599185,1,5.0
Bikroycity.com,23.8053498,90.4328882,"Bikroycity.com, House 15 Rd No-03, Dhaka 1212",01771-777422,11,5.0
Jogaan,23.7899855,90.4036334,"Jogaan, Road 08, Block F, Dhaka 1213",09614-777888,26,4.4
Afra Mart,23.7893178,90.4038602,"Afra Mart, House-7 Rd No. 7, Dhaka 1212",01841-232187,3,5.0
Chaldal.com Delivery Warehouse,23.8061272,90.4314149,"RC4J+FH3 Chaldal.com Delivery Warehouse, Dhaka",01881-234567,123,4.0
Khaas Food - Badda | Best Natural and Safe Grocery Store,23.7733472,90.426662,"Khaas Food - Badda | Best Natural and Safe Grocery Store, House#14 Rd No 11, Dhaka 1212",01730-715053,61,4.1
Dukanbd,23.7988604,90.4337601,"Dukanbd, 2502 Madani Ave, Dhaka 1212",01313-530220,15,5.0
Akpoysha,23.7796474,90.429157,"Akpoysha, 628, Jalil Mahmud Sharani, Adarsha Nagar Middle Badda, Badda, Dhaka-1212, Dhaka 1212",01905-492040,1,4.0
Khaas Food Gulshan | Best Natural and Safe Grocery Store,23.7915026,90.4225271,"Khaas Food Gulshan | Best Natural and Safe Grocery Store, Tower, 4 C Gazi Ln, Dhaka 1212",01730-715059,357,4.2
Neptune Bazaar,23.7941821,90.4015341,"Neptune Bazaar, 79 Rd Number 4, Dhaka 1212",01701-225360,7,4.7
Unimart Gulshan 2,23.7960944,90.4149315,"House No. 23, Unimart Gulshan 2, Gulshan Centre Point, 26 Rd 90, Dhaka 1212",01955-550000,11038,4.5
Daily Shopping Middle Badda,23.7776372,90.4251228,"Kha- 167, Daily Shopping Middle Badda, 1 Alatunnesa School Rd, Dhaka 1212",01704-140903,21,4.0
LavenderMart,23.7898354,90.4080751,"Block-H House, LavenderMart, 27 Rd 12, Dhaka 1213",01718-829192,10,4.5
M/S Zia General Store,23.7796401,90.4159097,"M/S Zia General Store, Road No 11, Dhaka 1212",01822-666688,25,3.7
Lavender Convenience Store Ltd.,23.7931109,90.4247892,"Lavender Convenience Store Ltd., 30/2, 30/3 Shahjadpur, Pragati Sarani Dhaka Dhaka, 1212",01730-728993,766,4.2
"Daily Shopping - Gulshan, Gudaraghat 1",23.7768879,90.4265785,"Daily Shopping - Gulshan, Gudaraghat 1, House-12, Road-6 Gudaraghat-1, Dhaka 1212",01704-140915,432,4.0
Dhali Super Shop Ltd.,23.7936305,90.4155891,"Dhali Super Shop Ltd., G-6,7 DNCC Market, Rd 98, Dhaka 1212",02-8881100,747,4.2
Unimart Gulshan 1,23.7769031,90.4160159,"Unimart Gulshan 1, United House, Dhaka 1212",01958-362000,450,4.4
Sostabazaar,23.7978978,90.430646,"Sostabazaar, 40/B, 1212",01974-998833,1,5.0
groceryshop24,23.7718652,90.3930533,"House # 8/1, groceryshop24, 6 Road No. 8, Dhaka 1212",01403-396179,Moderately expensive,
Daily Shopping - Badda Gudaraghat,23.7812492,90.4214561,"Daily Shopping - Badda Gudaraghat, House - 12, Road - 04, Gudaraghat, Dhaka 1212",01704-140898,5,4.2
kDhaka.com,23.7797727,90.4160701,"Shop-5, kDhaka.com, Abir General Store, DNCC Bazar, Dhaka 1212",01811-124659,22,4.9
Diplomat Bazaar (Baridhara),23.8043053,90.4200448,"Diplomat Bazaar (Baridhara), Diplomatic Area, Plot # 20 Road No. 7, Dhaka 1212",01926-818980,87,4.4
CSD Mohakhali DOHS,23.7827824,90.3957412,"CSD Mohakhali DOHS, Rd 21, Dhaka 1212",02-9861559,2150,4.1
Shwapno,23.7931716,90.4056827,"Shwapno, 2 Banani Bridge, Dhaka 1212",01401-188168,1206,4.2
Jogaan,23.7899855,90.4036334,"Jogaan, Road 08, Block F, Dhaka 1213",09614-777888,26,4.4
Unimart Gulshan 2,23.7960944,90.4149315,"House No. 23, Unimart Gulshan 2, Gulshan Centre Point, 26 Rd 90, Dhaka 1212",01955-550000,11038,4.5
Akpoysha,23.7796474,90.429157,"Akpoysha, 628, Jalil Mahmud Sharani, Adarsha Nagar Middle Badda, Badda, Dhaka-1212, Dhaka 1212",01905-492040,1,4.0
LavenderMart,23.7898354,90.4080751,"Block-H House, LavenderMart, 27 Rd 12, Dhaka 1213",01718-829192,10,4.5
Unimart Gulshan 1,23.7769031,90.4160159,"Unimart Gulshan 1, United House, Dhaka 1212",01958-362000,450,4.4
Fresh Mart Super Shpop,23.8103308,90.4124933,"Fresh Mart Super Shpop, Modina Shopping Complex.Basila Dhaka, 1207",01601-299446,2,5.0
Chaldal.com Delivery Warehouse,23.8061272,90.4314149,"RC4J+FH3 Chaldal.com Delivery Warehouse, Dhaka",01881-234567,123,4.0
Dukanbd,23.7988604,90.4337601,"Dukanbd, 2502 Madani Ave, Dhaka 1212",01313-530220,15,5.0
Shwapno,23.7931716,90.4056827,"Shwapno, 2 Banani Bridge, Dhaka 1212",01401-188168,1206,4.2
Shwapno,23.7982765,90.4260305,"Shwapno, 2 Banani Bridge, Dhaka 1212",01401-188168,1206,4.2
Lavender Convenience Store Ltd.,23.7931109,90.4247892,"Lavender Convenience Store Ltd., 30/2, 30/3 Shahjadpur, Pragati Sarani Dhaka Dhaka, 1212",01730-728993,766,4.2
BBN Mart,23.8007795,90.4306605,"RC2J+877 BBN Mart, Dhaka 1212",01879-831081,1,5.0
BBN Mart,23.7887092,90.4160895,"RC2J+877 BBN Mart, Dhaka 1212",01879-831081,1,5.0
Dhali Super Shop Ltd.,23.7936305,90.4155891,"Dhali Super Shop Ltd., G-6,7 DNCC Market, Rd 98, Dhaka 1212",02-8881100,747,4.2
"Amana Big Bazar, Mohakhali",23.7783668,90.3970058,"Amana Big Bazar, Mohakhali, SKS Shopping mall, Ground Floor, Dhaka 1206",01322-892064,74,4.1
Seoul Mart,23.7916236,90.4079938,"Seoul Mart, House 134 Rd 12, Dhaka 1212",01796-268444,137,4.2
OiiO Supermarket,23.8155626,90.4224019,"OiiO Supermarket, 200/7 Gazi Bhaban, School Road, Kuril Chowrasta, Circle, Dhaka 1229",01759-217820,2,5.0
Swapno (Badda Brunch),23.7639943,90.4137998,"QCHG+Q82 Swapno (Badda Brunch), Bir Uttam Rafiqul Islam Ave, Dhaka 1212",01313-487373,5906,3.8
Seoul Mart,23.7916236,90.4079938,"Seoul Mart, House 134 Rd 12, Dhaka 1212",01796-268444,137,4.2
Lavender Convenience Store Ltd.,23.7951138,90.413292,"Lavender Convenience Store Ltd., 30/2, 30/3 Shahjadpur, Pragati Sarani Dhaka Dhaka, 1212",01730-728993,766,4.2
kDhaka.com,23.7797727,90.4160701,"Shop-5, kDhaka.com, Abir General Store, DNCC Bazar, Dhaka 1212",01811-124659,22,4.9
Azurabazar,23.7797354,90.4171573,"Plot # 42, Azurabazar, Jabbar Tower” 3rd Floor, | Rd 135, Dhaka 1212",01940-404019,1,5.0
Genius Shopping Center,23.8124667,90.4228395,"KA 24, Genius Shopping Center, 4/A Bashundhara Rd, Dhaka 1229",01703-661613,2402,4.1
Jogaan,23.7899855,90.4036334,"Jogaan, Road 08, Block F, Dhaka 1213",09614-777888,26,4.4
Khaas Food - Badda | Best Natural and Safe Grocery Store,23.7733472,90.426662,"Khaas Food - Badda | Best Natural and Safe Grocery Store, House#14 Rd No 11, Dhaka 1212",01730-715053,61,4.1
LavenderMart,23.7898354,90.4080751,"Block-H House, LavenderMart, 27 Rd 12, Dhaka 1213",01718-829192,10,4.5
My Super Shop,23.7595845,90.4350091,"My Super Shop, Gulshan Shopping Center, 228, 4th Floor, Dhaka 1212",01718-829192,10,4.5
Al Madina Super Shop,23.8081046,90.419827,"RC6H+G2G Al Madina Super Shop, Road No. 3, Dhaka",01729-514179,5,2.2
Daily Shopping - Badda Gudaraghat,23.7812492,90.4214561,"Daily Shopping - Badda Gudaraghat, House - 12, Road - 04, Gudaraghat, Dhaka 1212",01704-140898,5,4.2
Shwapno - Gulshan 1,23.7747046,90.4159275,"Shwapno - Gulshan 1, Dhaka 1212",01313-055089,2691,4.3
Shwapno - Gulshan 1,23.7774496,90.4110149,"Shwapno - Gulshan 1, Dhaka 1212",01313-055089,2691,4.3
Shwapno - Gulshan 1,23.7747046,90.4159275,"Shwapno - Gulshan 1, Dhaka 1212",01313-055089,2691,4.3
Shwapno - Gulshan 1,23.7774496,90.4110149,"Shwapno - Gulshan 1, Dhaka 1212",01313-055089,2691,4.3
Oh My Giftness,23.7525363,90.4196636,"Oh My Giftness, 1212 Road No. 2, Dhaka 1212",01724-319246,3,3.7
M/S Zia General Store,23.7796401,90.4159097,"M/S Zia General Store, Road No 11, Dhaka 1212",01822-666688,25,3.7
M/S Zia General Store,23.7886655,90.4161661,"M/S Zia General Store, Road No 11, Dhaka 1212",01822-666688,25,3.7
Khaas Food Gulshan | Best Natural and Safe Grocery Store,23.7915026,90.4225271,"Khaas Food Gulshan | Best Natural and Safe Grocery Store, Tower, 4 C Gazi Ln, Dhaka 1212",01730-715059,357,4.2
Khaas Food Gulshan | Best Natural and Safe Grocery Store,23.8172372,90.370454,"Khaas Food Gulshan | Best Natural and Safe Grocery Store, Tower, 4 C Gazi Ln, Dhaka 1212",01730-715059,357,4.2
Dhali Super Shop Ltd. Branch 2,23.7987829,90.4123894,"Dhali Super Shop Ltd. Branch 2, Green Meher Tower, House- 12/A, Road- 55, Gulshan North Ave, Dhaka 1212",01758-187701,24,4.2
"Raju pharmacy, Home",23.800771,90.42538,"Raju pharmacy, Home, Plot No. 736, Hazi Sona Miya Masjid Road, Nayanagar, Block-J, Road No. 20, Dhaka 1212",01716-343822,1,5.0
Wellness Pharmacy,23.7958652,90.4080819,"Wellness Pharmacy, House 8 Road, 27 Rd 22, Block#K, Dhaka 1212",01319-435343,4,5.0
Smiley Life Pharmacy,23.7728824,90.4278961,"Smiley Life Pharmacy, House no# 34,Road no# 12 ,DIT project, Dhaka 1212",01406-026852,2,5.0
Prescription Aid Pharmacy,23.7907333,90.4041308,"Prescription Aid Pharmacy, Chandiwala Mansion, House 32 Road No. 11, Dhaka 1212",01920-778815,39,4.2
Prescription Aid Pharmacy,23.8122614,90.4303695,"Prescription Aid Pharmacy, Chandiwala Mansion, House 32 Road No. 11, Dhaka 1212",01920-778815,39,4.2
Praava Health Model Pharmacy,23.7933598,90.4023825,"Praava Health Model Pharmacy, Plot 9 Rd No 17, Dhaka 1212",01847-278019,18,4.6
Praava Health Model Pharmacy,23.790483,90.4074708,"Praava Health Model Pharmacy, Plot 9 Rd No 17, Dhaka 1212",01847-278019,18,4.6
DeshiMed Online Pharmacy Bangladesh,23.7777623,90.4152695,"DeshiMed Online Pharmacy Bangladesh, House 14/C, Road-2, Banani, Dhaka 3, 1212",01979-944567,7,5.0
